init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_respPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,passed_time
0,0,0.5,0.5,false,false,350,200,346,196,-4,-4,4,true,-1.0
0,0,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,350,300,346,296,-4,-4,4,true,-1.0
0,0,0.5,0.5,false,false,300,200,797,247,497,47,3,true,-1.0
0,0,0.5,0.5,false,false,250,250,247,247,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,200,850,197,847,-3,-3,3,false,-1.0
0,0,0.5,0.5,false,false,300,200,298,198,-2,-2,2,true,-1.0
0,1,0.5,0.5,false,false,300,350,298,348,-2,-2,2,true,0.266
0,1,0.5,0.5,false,false,850,300,898,798,48,498,2,true,-1.0
0,1,0.5,0.5,false,false,200,350,196,346,-4,-4,4,false,-1.0
0,1,0.5,0.5,false,false,200,250,248,798,48,548,2,true,-1.0
0,1,0.5,0.5,false,false,300,200,849,849,549,649,1,true,-1.0
0,1,0.5,0.5,false,false,200,300,199,299,-1,-1,1,true,-1.0
0,1,0.5,0.5,false,false,300,250,348,798,48,548,2,true,-1.0
0,1,0.5,0.5,false,false,250,300,247,297,-3,-3,3,true,-1.0
0,1,0.5,0.5,false,false,300,250,848,898,548,648,2,true,-1.0
0,1,0.5,0.5,false,false,300,900,296,896,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,300,250,799,349,499,99,1,true,326.575
0,2,0.5,0.5,false,true,200,300,199,299,-1,-1,1,true,-1.0
0,2,0.5,0.5,false,true,850,250,898,798,48,548,2,true,-1.0
0,2,0.5,0.5,false,true,250,350,246,346,-4,-4,4,false,-1.0
0,2,0.5,0.5,false,true,200,200,248,248,48,48,2,true,-1.0
0,2,0.5,0.5,false,true,200,250,797,297,597,47,3,true,-1.0
0,2,0.5,0.5,false,true,300,250,296,246,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,250,250,246,246,-4,-4,4,false,-1.0
0,2,0.5,0.5,false,true,250,250,799,899,549,649,1,true,-1.0
0,2,0.5,0.5,false,true,300,300,848,898,548,598,2,true,-1.0
0,2,0.5,0.5,false,false,300,350,297,347,-3,-3,3,true,66.161
0,2,0.5,0.5,false,false,300,350,296,346,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,250,300,298,798,48,498,2,false,-1.0
0,2,0.5,0.5,false,false,300,250,296,246,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,300,300,296,296,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,200,250,799,349,599,99,1,true,-1.0
0,2,0.5,0.5,false,false,350,300,398,798,48,498,2,true,-1.0
0,2,0.5,0.5,false,false,300,850,296,846,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,200,900,199,899,-1,-1,1,true,-1.0
0,2,0.5,0.5,false,false,300,200,797,247,497,47,3,true,-1.0
1,0,0.5,0.5,false,false,350,200,346,196,-4,-4,4,true,0.295
1,0,0.5,0.5,false,false,850,300,899,799,49,499,1,true,-1.0
1,0,0.5,0.5,false,false,250,850,250,850,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,250,350,245,345,-5,-5,5,true,-1.0
1,0,0.5,0.5,false,false,300,250,300,250,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,300,300,798,348,498,48,2,true,-1.0
1,0,0.5,0.5,false,false,300,200,799,899,499,699,1,true,-1.0
1,0,0.5,0.5,false,false,200,250,396,796,196,546,4,true,-1.0
1,0,0.5,0.5,false,false,250,200,347,297,97,97,3,true,-1.0
1,0,0.5,0.5,false,false,250,850,799,899,549,49,1,true,-1.0
1,1,0.5,0.5,false,false,250,300,200,250,-50,-50,50,true,1.114
1,1,0.5,0.5,false,false,900,850,850,800,-50,-50,50,true,-1.0
1,1,0.5,0.5,false,false,850,200,850,200,0,0,0,true,-1.0
1,1,0.5,0.5,false,false,300,850,299,849,-1,-1,1,true,-1.0
1,1,0.5,0.5,false,false,200,300,298,798,98,498,2,true,-1.0
1,1,0.5,0.5,false,false,300,250,300,250,0,0,0,true,-1.0
1,1,0.5,0.5,false,false,200,200,150,150,-50,-50,50,false,-1.0
1,1,0.5,0.5,false,false,300,900,250,850,-50,-50,50,true,-1.0
1,1,0.5,0.5,false,false,300,300,348,798,48,498,2,true,-1.0
1,1,0.5,0.5,false,false,250,300,200,250,-50,-50,50,false,-1.0
1,2,0.5,0.5,false,true,250,250,299,899,49,649,1,true,770.405
1,2,0.5,0.5,false,true,850,250,848,248,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,true,900,250,900,250,0,0,0,true,-1.0
1,2,0.5,0.5,false,true,200,300,150,250,-50,-50,50,false,-1.0
1,2,0.5,0.5,false,true,200,850,198,848,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,true,200,350,198,348,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,true,250,250,299,299,49,49,1,true,-1.0
1,2,0.5,0.5,false,true,250,200,799,249,549,49,1,true,-1.0
1,2,0.5,0.5,false,true,850,200,850,200,0,0,0,true,-1.0
1,2,0.5,0.5,false,true,250,200,250,200,0,0,0,true,-1.0
1,2,0.5,0.5,false,false,300,300,799,349,499,49,1,true,121.989
1,2,0.5,0.5,false,false,250,250,250,250,0,0,0,true,-1.0
1,2,0.5,0.5,false,false,300,350,298,348,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,false,200,300,249,799,49,499,1,true,-1.0
1,2,0.5,0.5,false,false,850,300,848,298,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,false,850,250,848,248,-2,-2,2,true,-1.0
1,2,0.5,0.5,false,false,350,250,350,250,0,0,0,true,-1.0
1,2,0.5,0.5,false,false,250,300,797,347,547,47,3,true,-1.0
1,2,0.5,0.5,false,false,200,250,247,297,47,47,3,true,-1.0
1,2,0.5,0.5,false,false,200,250,249,899,49,649,1,true,-1.0
2,0,0.5,0.5,true,false,200,250,197,247,-3,-3,3,true,549.512
2,0,0.5,0.5,true,false,250,250,247,247,-3,-3,3,false,-1.0
2,0,0.5,0.5,true,false,350,250,897,297,547,47,3,true,-1.0
2,0,0.5,0.5,true,false,200,200,200,200,0,0,0,true,-1.0
2,0,0.5,0.5,true,false,300,850,297,847,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,200,200,195,195,-5,-5,5,true,-1.0
2,0,0.5,0.5,true,false,250,350,247,347,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,200,850,197,847,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,200,250,297,397,97,147,3,false,-1.0
2,0,0.5,0.5,true,false,300,350,295,345,-5,-5,5,false,-1.0
2,0,0.5,0.5,false,false,200,250,395,295,195,45,5,false,88.365
2,0,0.5,0.5,false,false,350,200,350,200,0,0,0,true,-1.0
2,0,0.5,0.5,false,false,200,250,200,250,0,0,0,true,-1.0
2,0,0.5,0.5,false,false,250,300,798,948,548,648,2,true,-1.0
2,0,0.5,0.5,false,false,300,250,296,246,-4,-4,4,true,-1.0
2,0,0.5,0.5,false,false,850,850,847,847,-3,-3,3,true,-1.0
2,0,0.5,0.5,false,false,850,300,850,300,0,0,0,true,-1.0
2,0,0.5,0.5,false,false,300,300,349,799,49,499,1,true,-1.0
2,0,0.5,0.5,false,false,300,300,797,347,497,47,3,true,-1.0
2,0,0.5,0.5,false,false,300,250,297,247,-3,-3,3,true,-1.0
2,1,0.5,0.5,true,false,250,250,247,247,-3,-3,3,true,1157.265
2,1,0.5,0.5,true,false,300,850,799,899,499,49,1,true,-1.0
2,1,0.5,0.5,true,false,850,900,849,899,-1,-1,1,true,-1.0
2,1,0.5,0.5,true,false,300,250,847,297,547,47,3,true,-1.0
2,1,0.5,0.5,true,false,250,200,250,200,0,0,0,true,-1.0
2,1,0.5,0.5,true,false,250,300,299,799,49,499,1,true,-1.0
2,1,0.5,0.5,true,false,300,300,799,349,499,49,1,true,-1.0
2,1,0.5,0.5,true,false,200,300,398,798,198,498,2,true,-1.0
2,1,0.5,0.5,true,false,900,300,948,798,48,498,2,true,-1.0
2,1,0.5,0.5,true,false,900,850,899,849,-1,-1,1,true,-1.0
2,1,0.5,0.5,false,false,300,250,250,200,-50,-50,50,false,177.345
2,1,0.5,0.5,false,false,200,200,197,197,-3,-3,3,true,-1.0
2,1,0.5,0.5,false,false,900,250,900,250,0,0,0,true,-1.0
2,1,0.5,0.5,false,false,250,250,798,298,548,48,2,true,-1.0
